word	p	nn	n
stupid	0.0	0.0	0.14
nur	0.14	0.0	0.0
good	0.0	0.0	0.14
sich	0.14	0.0	0.0
beautiful	0.14	0.0	0.0
wirklich	0.14	0.0	0.0
fine	0.14	0.0	0.0
regrettable	0.0	0.0	0.14
horrible	0.0	0.0	0.14
Schon	0.14	0.0	0.0
peart	0.14	0.0	0.0
insecure	0.0	0.0	0.14
dreadful	0.0	0.0	0.14
unusual	0.0	0.0	0.14
unsettling	0.0	0.0	0.14
lousy	0.0	0.0	0.14
excelent	0.14	0.0	0.0
poorer	0.0	0.0	0.14
excellant	0.14	0.0	0.0
aber	0.14	0.0	0.0
superb	0.10	0.0	0.05
agreeable	0.0	0.0	0.14
exceptional	0.14	0.0	0.0
nicht	0.14	0.0	0.0
horrid	0.0	0.0	0.14
brown	0.0	0.25	0.0
tough	0.0	0.0	0.14
odd	0.0	0.0	0.14
astonishing	0.14	0.0	0.0
important	0.0	0.0	0.14
horrific	0.0	0.0	0.14
auch	0.14	0.0	0.0
African-American	0.0	0.25	0.0
terrific	0.14	0.0	0.0
gorgeous	0.14	0.0	0.0
horrendous	0.0	0.0	0.14
annoying	0.0	0.0	0.14
pink	0.0	0.25	0.0
ironic	0.0	0.0	0.14
young	0.0	0.25	0.0
unexpected	0.0	0.0	0.14
inexpensive	0.14	0.0	0.0
unlikable	0.0	0.0	0.14
decent	0.0	0.0	0.14
cute	0.14	0.0	0.0
engaging	0.14	0.0	0.0
negative	0.0	0.0	0.14
astounding	0.14	0.0	0.0
shoddy	0.0	0.0	0.14
sad	0.0	0.0	0.14
mir	0.14	0.0	0.0
tragic	0.0	0.0	0.14
dark	0.0	0.25	0.0
unappealing	0.0	0.0	0.14
exellent	0.14	0.0	0.0
AWFUL	0.0	0.0	0.14
overweight	0.0	0.0	0.14
gay	0.0	0.25	0.0
affordable	0.14	0.0	0.0
brilliant	0.14	0.0	0.0
awsome	0.14	0.0	0.0
green	0.0	0.25	0.0
interesting	0.07	0.0	0.07
incredible	0.11	0.0	0.03
impressive	0.14	0.0	0.0
aweful	0.0	0.0	0.14
fortunate	0.0	0.0	0.14
great	0.07	0.0	0.07
orange	0.0	0.25	0.0
awesome	0.12	0.0	0.02
extraordinary	0.14	0.0	0.0
mediocre	0.0	0.0	0.14
endearing	0.07	0.0	0.07
blue	0.0	0.25	0.0
exciting	0.0	0.0	0.14
marvelous	0.14	0.0	0.0
delightful	0.14	0.0	0.0
purple	0.0	0.25	0.0
fantastic	0.14	0.0	0.0
appealing	0.07	0.0	0.07
fabulous	0.14	0.0	0.0
